alpha,optimization_time,n_selected,cost_value
0.5,0.792458500014618,2,-0.09525886304828236
0.75,0.4727287500281818,3,-0.15154325456404671
0.875,0.4749259169911966,4,-0.21032230129467352
0.9375,0.47300362499663606,6,-0.2944474342405624
0.96875,0.4735735830035992,9,-0.4142594457395053
0.984375,0.47209812502842396,14,-0.6428154710636251
0.98828125,0.46746833296492696,18,-0.7536002525417638
0.9921875,0.47435187501832843,21,-0.9158698593554924
