alpha,optimization_time,n_selected,cost_value
0.0009765625,0.014229999971576035,54,
0.001953125,0.014543708006385714,47,
0.00390625,0.014323750045150518,42,
0.0078125,0.01602016598917544,39,
0.015625,0.016832625027745962,51,
0.03125,0.05779900000197813,39,
0.0625,0.012220541015267372,40,
0.125,0.013676416012458503,53,
0.25,0.0132204580004327,46,
0.5,7.935960084025282,52,
